cisp,mes,ano,mes_ano,aisp,risp,munic,mcirc,regiao,hom_doloso,lesao_corp_morte,latrocinio,cvli,hom_por_interv_policial,feminicidio,letalidade_violenta,tentat_hom,tentativa_feminicidio,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_transeunte,roubo_celular,roubo_em_coletivo,roubo_rua,roubo_veiculo,roubo_carga,roubo_comercio,roubo_residencia,roubo_banco,roubo_cx_eletronico,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubos,total_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,total_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,posse_drogas,trafico_drogas,apreensao_drogas_sem_autor,recuperacao_veiculos,apf,aaapai,cmp,cmba,ameaca,pessoas_desaparecidas,encontro_cadaver,encontro_ossada,pol_militares_mortos_serv,pol_civis_mortos_serv,registro_ocorrencias,fase
1,1,2021,2021-01-01,5,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,15,1,0,4,74,17,11,102,0,0,1,0,0,0.0,0,3,0.0,4,110,4,32,9,20,2.0,70,137,0,0,0,136,3,3.0,0.0,0.0,1,16.0,1.0,6.0,1.0,13,0,0,0,0,0,574,3
4,1,2021,2021-01-01,5,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,9,,15,1,0,4,30,14,16,60,1,0,0,0,0,0.0,0,1,0.0,3,65,1,42,5,24,0.0,55,127,0,2,0,12,7,2.0,4.0,1.0,1,17.0,3.0,6.0,0.0,21,0,0,0,0,0,329,3
5,1,2021,2021-01-01,5,1,Rio de Janeiro,3304557,Capital,1,0,0,1,0,,1,0,,27,1,1,3,108,27,9,144,6,1,4,0,0,0.0,0,2,6.0,22,185,14,31,3,37,2.0,132,219,0,2,0,81,14,7.0,5.0,3.0,6,45.0,4.0,7.0,2.0,27,5,0,0,0,0,777,3
6,1,2021,2021-01-01,4,1,Rio de Janeiro,3304557,Capital,8,0,0,8,2,,10,7,,28,1,0,22,56,15,47,118,15,0,1,0,0,0.0,0,0,0.0,10,144,13,9,7,5,1.0,41,76,0,0,0,18,4,0.0,4.0,0.0,25,24.0,2.0,4.0,0.0,12,4,0,0,0,0,428,3
7,1,2021,2021-01-01,5,1,Rio de Janeiro,3304557,Capital,1,0,0,1,1,,2,12,,12,3,0,1,18,8,5,31,5,0,1,4,0,0.0,0,0,0.0,11,52,17,0,0,4,0.0,15,36,0,0,0,2,3,1.0,2.0,0.0,5,3.0,1.0,1.0,0.0,11,0,0,0,0,0,164,3
9,1,2021,2021-01-01,2,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,2,,32,2,2,17,92,16,12,120,18,0,3,0,0,0.0,0,0,6.0,12,159,41,22,14,20,5.0,77,179,0,0,0,145,7,6.0,1.0,0.0,6,31.0,5.0,7.0,0.0,27,3,0,0,0,0,781,3
10,1,2021,2021-01-01,2,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,18,0,1,24,31,17,1,49,10,2,3,0,0,0.0,0,0,7.0,14,85,11,19,13,32,3.0,78,156,0,3,0,57,9,4.0,5.0,0.0,4,19.0,19.0,2.0,0.0,25,0,0,0,0,0,515,3
11,1,2021,2021-01-01,23,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,9,4,0,2,0,1,0,1,0,0,0,0,0,0.0,0,0,0.0,1,2,1,0,0,0,0.0,4,5,0,0,0,8,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,58,3
12,1,2021,2021-01-01,19,1,Rio de Janeiro,3304557,Capital,0,0,0,0,2,,2,2,,34,0,0,12,40,17,1,58,0,0,3,0,0,0.0,0,0,5.0,7,73,10,54,8,50,9.0,120,251,0,2,1,48,10,6.0,4.0,0.0,5,64.0,25.0,23.0,0.0,27,3,0,0,0,0,670,3
13,1,2021,2021-01-01,19,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,11,1,0,9,30,6,0,36,1,0,2,1,0,0.0,0,0,1.0,4,45,0,25,7,34,6.0,68,140,0,1,0,50,5,4.0,1.0,0.0,1,40.0,14.0,9.0,0.0,10,1,0,0,0,0,401,3
14,1,2021,2021-01-01,23,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,15,0,0,3,63,27,2,92,6,0,5,1,0,0.0,0,0,2.0,17,123,11,67,7,121,32.0,178,416,0,3,0,40,27,18.0,9.0,0.0,3,77.0,28.0,11.0,0.0,24,0,1,0,0,0,807,3
15,1,2021,2021-01-01,23,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,8,2,1,9,19,11,5,35,5,0,1,1,0,0.0,0,0,5.0,5,52,10,6,5,19,2.0,34,76,0,3,0,42,4,4.0,0.0,0.0,5,17.0,1.0,2.0,0.0,16,1,0,0,0,0,278,3
16,1,2021,2021-01-01,31,2,Rio de Janeiro,3304557,Capital,1,0,0,1,1,,2,6,,98,1,0,26,69,22,29,120,13,0,4,0,0,0.0,0,4,1.0,33,175,29,35,36,69,3.0,228,400,0,6,0,197,56,49.0,7.0,0.0,6,41.0,19.0,16.0,0.0,84,9,2,0,0,0,1371,3
17,1,2021,2021-01-01,4,1,Rio de Janeiro,3304557,Capital,2,0,0,2,0,,2,8,,39,2,1,28,38,19,37,94,24,5,2,1,0,0.0,0,0,0.0,15,141,12,8,5,9,2.0,51,87,0,0,0,19,5,1.0,4.0,0.0,5,21.0,1.0,12.0,0.0,31,4,0,0,0,0,449,3
18,1,2021,2021-01-01,6,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,11,0,0,5,20,18,8,46,34,1,3,0,0,0.0,0,0,0.0,17,101,7,8,1,4,5.0,67,92,0,0,0,18,7,2.0,5.0,0.0,3,20.0,0.0,8.0,0.0,13,0,0,0,0,0,332,3
19,1,2021,2021-01-01,6,1,Rio de Janeiro,3304557,Capital,3,0,0,3,2,,5,8,,14,2,0,8,28,13,1,42,24,2,2,0,0,0.0,0,0,0.0,9,79,4,20,7,13,4.0,96,144,0,2,0,70,14,7.0,7.0,0.0,10,28.0,1.0,6.0,0.0,18,1,0,0,0,0,564,3
20,1,2021,2021-01-01,6,1,Rio de Janeiro,3304557,Capital,0,0,0,0,2,,2,7,,35,3,0,15,42,15,3,60,13,1,3,3,0,0.0,0,1,0.0,15,96,10,6,1,8,4.0,122,151,0,0,0,72,11,5.0,5.0,1.0,3,19.0,0.0,7.0,0.0,47,4,0,0,0,0,575,3
21,1,2021,2021-01-01,22,1,Rio de Janeiro,3304557,Capital,4,0,0,4,2,,6,3,,56,3,3,36,113,38,47,198,30,9,9,0,0,0.0,0,5,0.0,46,297,21,20,24,20,2.0,136,223,0,2,1,65,12,5.0,7.0,0.0,46,40.0,1.0,24.0,0.0,38,9,0,0,0,0,931,3
22,1,2021,2021-01-01,16,1,Rio de Janeiro,3304557,Capital,4,0,0,4,4,,8,1,,38,3,3,25,53,20,13,86,21,10,6,1,0,0.0,0,1,0.0,4,129,20,12,15,22,0.0,109,178,0,0,0,61,12,2.0,11.0,0.0,22,28.0,0.0,5.0,0.0,37,5,0,0,0,0,684,3
23,1,2021,2021-01-01,3,1,Rio de Janeiro,3304557,Capital,1,0,0,1,0,,1,1,,23,1,0,6,43,12,7,62,21,0,4,0,0,0.0,0,0,0.0,16,103,11,3,1,5,1.0,45,66,0,1,0,39,2,2.0,1.0,0.0,9,20.0,0.0,3.0,0.0,14,0,0,0,0,0,336,3
24,1,2021,2021-01-01,3,1,Rio de Janeiro,3304557,Capital,0,0,0,0,1,,1,2,,28,0,2,9,77,27,4,108,42,2,4,0,0,0.0,0,0,0.0,28,184,8,6,5,8,1.0,40,68,0,3,0,17,0,0.0,0.0,0.0,6,13.0,0.0,2.0,0.0,34,4,0,0,0,0,431,3
25,1,2021,2021-01-01,3,1,Rio de Janeiro,3304557,Capital,2,0,0,2,0,,2,2,,27,4,2,9,43,8,8,59,35,4,1,0,0,0.0,0,1,0.0,23,123,2,6,9,10,1.0,38,66,0,0,0,22,12,2.0,10.0,0.0,12,24.0,0.0,9.0,1.0,28,0,0,0,0,0,375,3
26,1,2021,2021-01-01,3,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,4,,24,0,3,13,50,12,7,69,32,8,6,3,0,0.0,0,1,0.0,33,152,3,8,0,3,0.0,60,74,0,0,0,43,5,3.0,2.0,0.0,4,11.0,3.0,8.0,0.0,20,3,0,0,0,0,464,3
27,1,2021,2021-01-01,41,2,Rio de Janeiro,3304557,Capital,4,0,0,4,2,,6,3,,52,5,1,22,82,29,46,157,33,9,2,1,0,1.0,0,0,0.0,29,232,20,4,3,8,1.0,102,138,0,1,0,32,6,1.0,5.0,0.0,25,24.0,1.0,11.0,1.0,45,2,0,0,0,0,653,3
28,1,2021,2021-01-01,18,2,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,5,,34,3,0,19,25,16,2,43,10,2,6,0,0,0.0,0,0,0.0,6,67,7,4,9,3,1.0,40,64,0,2,0,23,2,0.0,2.0,0.0,1,3.0,0.0,3.0,0.0,50,5,0,0,0,0,315,3
29,1,2021,2021-01-01,9,2,Rio de Janeiro,3304557,Capital,4,0,1,5,2,,7,1,,45,2,1,29,164,58,57,279,47,5,8,2,0,0.0,0,1,0.0,38,380,14,30,30,34,0.0,122,230,0,3,0,91,6,0.0,5.0,1.0,11,23.0,2.0,9.0,1.0,42,1,0,0,0,0,1023,3
30,1,2021,2021-01-01,9,2,Rio de Janeiro,3304557,Capital,2,0,0,2,0,,2,0,,45,2,2,3,43,15,6,64,43,3,2,0,0,0.0,1,0,0.0,21,134,18,5,2,5,0.0,38,68,0,1,0,26,5,0.0,2.0,3.0,22,7.0,3.0,1.0,1.0,52,4,0,0,0,0,420,3
31,1,2021,2021-01-01,41,2,Rio de Janeiro,3304557,Capital,3,0,0,3,5,,8,8,,58,1,2,22,73,17,16,106,90,9,3,0,0,0.0,0,0,0.0,18,226,13,7,7,11,0.0,31,69,0,2,0,34,4,0.0,4.0,0.0,43,24.0,7.0,7.0,0.0,53,3,1,0,0,0,594,3
32,1,2021,2021-01-01,18,2,Rio de Janeiro,3304557,Capital,8,0,0,8,1,,9,5,,148,12,5,38,123,45,62,230,26,7,13,3,0,0.0,1,0,0.0,47,327,18,18,19,27,1.0,283,366,0,6,0,123,1,0.0,1.0,0.0,16,46.0,4.0,8.0,3.0,130,7,0,0,0,0,1444,3
33,1,2021,2021-01-01,14,2,Rio de Janeiro,3304557,Capital,3,0,0,3,3,,6,8,,89,9,6,24,106,54,18,178,77,8,9,1,0,0.0,0,7,0.0,49,329,21,5,6,11,1.0,72,116,0,1,0,29,6,0.0,6.0,0.0,46,21.0,0.0,3.0,0.0,79,8,0,0,0,0,862,3
34,1,2021,2021-01-01,14,2,Rio de Janeiro,3304557,Capital,9,0,0,9,8,,17,17,,154,12,2,27,150,46,31,227,75,14,10,3,0,0.0,0,4,0.0,13,346,31,19,8,18,1.0,109,186,0,2,0,87,27,1.0,19.0,7.0,37,63.0,7.0,23.0,0.0,110,10,1,1,0,0,1288,3
35,1,2021,2021-01-01,40,2,Rio de Janeiro,3304557,Capital,3,0,0,3,0,,3,4,,184,23,5,48,49,25,7,81,69,9,9,0,0,1.0,0,1,0.0,23,193,55,21,4,32,0.0,98,210,0,0,0,177,5,3.0,2.0,0.0,32,63.0,5.0,15.0,1.0,121,14,1,0,0,0,1227,3
36,1,2021,2021-01-01,27,2,Rio de Janeiro,3304557,Capital,2,0,0,2,0,,2,4,,168,12,4,25,41,11,7,59,12,2,2,0,0,0.0,0,2,0.0,8,85,16,15,2,16,0.0,58,107,0,1,0,58,1,1.0,0.0,0.0,9,25.0,0.0,3.0,1.0,104,11,0,0,0,0,693,3
37,1,2021,2021-01-01,17,1,Rio de Janeiro,3304557,Capital,2,0,0,2,0,,2,1,,62,8,0,27,30,15,1,46,10,1,2,0,0,0.0,0,0,0.0,9,68,6,4,2,4,2.0,70,88,0,0,0,80,4,3.0,1.0,0.0,18,20.0,12.0,1.0,1.0,40,5,1,0,0,0,659,3
38,1,2021,2021-01-01,16,1,Rio de Janeiro,3304557,Capital,4,0,0,4,4,,8,5,,55,2,4,19,39,34,10,83,30,15,4,2,0,1.0,1,2,0.0,27,165,11,3,1,6,0.0,30,51,0,2,0,33,9,0.0,6.0,3.0,43,32.0,2.0,5.0,1.0,43,3,0,0,0,0,508,3
39,1,2021,2021-01-01,41,2,Rio de Janeiro,3304557,Capital,4,0,0,4,3,,7,0,,56,3,4,16,78,26,69,173,98,13,2,0,0,0.0,0,4,0.0,44,334,15,9,1,4,1.0,30,60,0,1,0,24,9,0.0,8.0,1.0,184,30.0,6.0,4.0,2.0,33,9,0,0,0,0,816,3
40,1,2021,2021-01-01,9,2,Rio de Janeiro,3304557,Capital,7,0,0,7,1,,8,1,,33,2,1,15,61,19,35,115,33,3,1,0,0,0.0,0,1,0.0,17,170,9,5,3,5,0.0,48,70,0,1,0,31,2,0.0,1.0,1.0,36,14.0,3.0,1.0,0.0,24,3,0,0,0,0,442,3
41,1,2021,2021-01-01,18,2,Rio de Janeiro,3304557,Capital,4,0,0,4,0,,4,0,,30,3,0,14,44,10,1,55,10,0,4,1,0,0.0,1,0,1.0,9,81,4,7,10,13,1.0,54,89,0,0,0,42,1,0.0,1.0,0.0,3,21.0,0.0,3.0,0.0,41,2,0,0,0,0,406,3
42,1,2021,2021-01-01,31,2,Rio de Janeiro,3304557,Capital,2,0,0,2,0,,2,4,,54,3,2,17,32,8,4,44,19,0,7,2,0,0.0,0,0,2.0,10,84,53,16,12,24,9.0,122,236,0,3,0,41,132,127.0,4.0,2.0,12,20.0,5.0,6.0,1.0,68,7,2,0,0,0,807,3
43,1,2021,2021-01-01,27,2,Rio de Janeiro,3304557,Capital,2,0,0,2,0,,2,2,,108,7,2,26,25,10,26,61,7,0,1,4,0,0.0,0,0,0.0,7,80,12,4,1,13,1.0,42,73,0,0,0,21,1,1.0,0.0,0.0,9,17.0,0.0,3.0,0.0,93,11,1,0,0,0,530,3
