CISP,Bairros_Abrangidos
1,Centro (parte)
4,"Centro (parte), Gamboa, Santo Cristo e Saúde"
5,"Centro (parte), Lapa e Paquetá"
6,"Catumbi, Cidade Nova, Estácio, Rio Comprido e Centro (parte)"
7,Santa Teresa
9,"Catete, Cosme Velho, Flamengo, Glória e Laranjeiras"
10,"Botafogo, Humaitá e Urca"
11,Rocinha
12,Copacabana (parte) e Leme
13,Copacabana (parte)
14,Ipanema e Leblon
15,"Gávea, Jardim Botânico, Lagoa, São Conrado e Vidigal"
16,"Barra da Tijuca, Itanhangá, Joá"
17,"Caju, Mangueira, São Cristóvão e Vasco da Gama"
18,"Maracanã, Praça da Bandeira e Tijuca (parte)"
19,Alto da Boa Vista e Tijuca (parte)
20,"Andaraí, Grajaú e Vila Isabel"
21,"Benfica, Bonsucesso, Higienópolis, Manguinhos, Maré e Ramos"
22,"Brás de Pina (parte), Olaria, Penha e Penha Circular (parte)"
23,"Cachambi, Méier (parte) e Todos os Santos (parte)"
24,"Abolição, Água Santa (parte), Encantado, Engenho de Dentro (parte), Pilares e Piedade"
25,"Engenho Novo, Jacaré, Jacarezinho, Riachuelo, Rocha, Sampaio e São Francisco Xavier"
26,"Água Santa (parte), Engenho de Dentro (parte), Lins de Vasconcelos e Todos os Santos"
27,"Colégio (parte), Irajá, Vicente de Carvalho, Vila Kosmos, Vila da Penha e Vista Alegre"
28,"Vila Valqueire, Praça Seca e Tanque (parte)"
29,"Cavalcante, Engenheiro Leal, Madureira, Turiaçu, Vaz Lobo, Oswaldo Cruz (parte), Cascadura e Quintino Bocaiúva"
30,"Bento Ribeiro, Campinho, Marechal Hermes e Oswaldo Cruz (parte)"
31,"Anchieta, Guadalupe, Parque Anchieta e Ricardo de Albuquerque"
32,"Anil, Cidade de Deus, Curicica, Gardenia Azul, Jacarepaguá e Taquara"
33,"Campo dos Afonsos, Deodoro, Jardim Sulacap, Magalhães Bastos, Realengo e Vila Militar"
34,"Bangu, Gericinó, Padre Miguel e Senador Camará"
35,"Campo Grande, Cosmos, Inhoaíba, Santíssimo e Senador Vasconcelos"
36,Paciência e Santa Cruz
37,"Bancários, Cacuia, Cidade Universitária, Cocotá, Freguesia, Galeão, Jardim Carioca, Jardim Guanabara, Moneró, Pitangueiras, Portuguesa, Praia da Bandeira, Ribeira, Tauá e Zumbi"
38,"Brás de Pina (parte), Cordovil, Jardim América, Parada de Lucas, Penha Circular (parte) e Vigário Geral"
39,"Acari, Barros Filho, Costa Barros, Parque Colúmbia e Pavuna"
40,"Coelho Neto, Colégio (parte), Honório Gurgel e Rocha Miranda"
41,"Freguesia (Jacarepaguá), Pechincha e Tanque (parte)"
42,"Recreio dos Bandeirantes, Barra de Guaratiba, Camorim, Grumari, Vargem Grande e Vargem Pequena"
43,"Guaratiba, Pedra de Guaratiba e Sepetiba"
44,"Del Castilho, Engenho da Rainha, Inhaúma, Maria da Graça e Tomás Coelho"
48,Seropédica
50,Itaguaí e Ibituporanga
51,Paracambi
52,Centro (Nova Iguaçu)
53,"Mesquita, Chatuba e Banco de Areia"
54,"Areia Branca, Jardim Redentor, Parque São José, Nova Aurora e Lote XV"
55,"Centro, Norte, Sul, Leste, Oeste e Nordeste (Queimados)"
56,"Comendador Soares, Cabuçu e Km32"
57,Nilópolis e Olinda
58,"Posse, Austin, Miguel Couto, Vila de Cava e Tinguá"
59,Duque de Caxias (Centro)
60,Campos Elyseos
61,Xerém
62,Imbariê
63,"Japeri, Engenheiro Pedreira, Marajoara, Pedra Lisa e Rio D' Ouro"
64,"São João de Meriti, Coelho da Rocha e São Mateus"
65,"Magé, Santo Aleixo e Suruí"
66,Inhomirim e Guia de Copaíba
67,Guapimirim
