feed_version,feed_start_date,feed_end_date,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off,network_id,versao_modelo
2024-07-22,2024-07-22,2024-07-26,20000EXEC1110,20001,ESP01,Galeão - Terminal Gentileza,Direto,200,,030478,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,E2024AAA0A,22002,2024,Leblon - Aeroporto Internacional do RJ,LECD71,200,,030478,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0553AAP0A,22004,SP553,Barra Sul - Rio Sul,SP Integrada 8,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0558AAA0A,22004,558,Cidade de Deus - Copacabana,Integrada 6,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0552AAA0A,22004,552,Terminal Alvorada - Rio Sul,Integrada 2,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0783AAA0A,22004,783,Terminal Deodoro - Praça Seca,LECD64,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0987AAA0A,22004,987,Gardênia Azul - Pechincha,LECD43,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0645AAA0A,22004,645,Terminal Alvorada - Saens Peña,LECD38,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0961AAA0A,22004,961,Rio das Pedras - Riocentro,LECD58,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0353AAA0A,22004,353,Gardênia Azul - Terminal Gentileza,LECD74,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0785AAA0A,22004,785,Cascadura - Marechal Hermes,LECD52,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0553AAA0A,22004,553,Recreio dos Bandeirantes - Rio Sul,Integrada 8,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0352AAA0A,22004,352,Riocentro - Candelária,via Autódromo,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0881AAA0A,22004,881,Taquara - Terminal Alvorada,LECD40,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0990AAA0A,22004,990,Merck - Joatinga,LECD42,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0554AAA0A,22004,554,Piabas - Rio Sul,Integrada 9,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0957AAA0A,22004,957,Vila do João - Terminal Alvorada,LECD41,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0702AAA0A,22004,702,Praça Seca - Madureira,LECD56,700,,279EE8,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0696AAN0A,22003,LECD89,Méier - Praia do Dendê,SN696,700,,79D600,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0921AAA0A,22003,921,Bancários - Ribeira,LECD61,700,,79D600,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0036CAA0A,22003,SV624,Mariópolis - Praça da Bandeira,LECD36,700,,79D600,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0312AAN0A,22003,SN312,Penha - Candelária,LECD77,700,,79D600,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0635AAA0A,22003,635,Bananal - Saens Peña,LECD63,700,,79D600,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0265AAP0A,22003,SP265,Marechal Hermes - Terminal Gentileza,LECD82,700,,79D600,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0909AAA0A,22003,LECD85,Irajá - Conjunto IAPC,909,700,,79D600,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0653AAA0A,22003,653,Terminal Deodoro - Méier,LECD65,700,,79D600,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0808AAA0A,22005,808,Salim - Campo Grande,LECD44,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0854AAAAA,22005,LECD92,Terminal Campo Grande - Ilha de Guaratiba,854,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0764AAA0A,22005,764,Catiri - Terminal Deodoro,LECD66,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0836AAA0A,22005,LECD90,Rio da Prata - Terminal Campo Grande,836,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0834AAA0A,22005,LECD94,Cabuçu de Baixo - Terminal Campo Grande,834,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0788AAA0A,22005,788,Terminal Campo Grande - Terminal Deodoro,LECD68,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0765AAA0A,22005,765,Mendanha - Terminal Deodoro,LECD67,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0850AAA0A,22005,LECD95,Mendanha - Campo Grande,850,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0872AAA0A,22005,872,Praia de Sepetiba - Terminal Mato Alto,LECD73,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0757AAA0A,22005,757,Sepetiba - Coelho Neto,LECD60,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0826AAA0A,22005,826,Carobinha - Campo Grande,LECD88,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0391AAV0A,22005,SV391,Padre Miguel - Praça da República,LECD62,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0798AAA0A,22005,798,Campo Grande - Terminal Deodoro,LECD70,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0753AAA0A,22005,753,Santa Cruz - Coelho Neto,LECD59,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0899AAV0A,22005,SV899,Barra de Guaratiba - Terminal Recreio,LECD51,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0899AAA0A,22005,899,Barra de Guaratiba - Terminal Recreio,LECD45,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0791AAA0A,22005,791,Padre Miguel - Terminal Deodoro,LECD84,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0754AAA0A,22005,754,Santa Cruz - Terminal Deodoro,LECD86,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0737AAA0A,22005,737,Santíssimo - Cascadura,LECD83,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0852AAP0A,22005,LECD93,Capoeira Grande - Terminal Campo Grande,856,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0807AAA0A,22005,LECD87,Jesuítas - Terminal Curral Falso,807,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0857AAA0A,22005,857,Terminal Campo Grande - Terminal Pingo d'Água,LECD72,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0796AAA0A,22005,796,Campo Grande - Terminal Deodoro,LECD69,700,,D22630,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0013AAA0A,22002,013,Paula Matos - Santo Cristo,LECD76,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0010AAA0A,22002,LECD91,Bairro de Fátima - Central,010,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0100AAA0A,22002,100,General Osório - Central,Troncal 1,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0161AAA0A,22002,161,Terminal Gentileza - Ipanema,LECD80,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0157AAA0A,22002,157,Gávea (PUC) - Castelo,LECD49,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0605AAA0A,22002,605,Vila Isabel - Praça Saens Peña,LECD50,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0117AAA0A,22002,117,Central - Cosme Velho,Troncal 7,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0443AAA0A,22002,443,Maré - Leblon,LECD37,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0109AAA0A,22002,109,São Conrado - Santo Cristo,LECD75,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0105AAA0A,22002,105,Alto Gávea - Central,Troncal 5,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0163AAA0A,22002,163,Terminal Gentileza - Copacabana,LECD81,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0165AAA0A,22002,165,Terminal Gentileza - Cosme Velho,LECD79,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0518AAA0A,22002,518,Urca - Botafogo,LECD55,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0167AAA0A,22002,167,Terminal Gentileza - Urca,LECD78,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0108AAA0A,22002,108,Jardim de Alah - Terminal Gentileza,Troncal 6,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0548AAA0A,22002,548,Metrô Botafogo - Terminal Alvorada,Integrada 3,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0519AAA0A,22002,519,Urca - Copacabana,LECD54,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,O0104AAA0A,22002,104,São Conrado - Terminal Gentileza,Troncal 4,700,,DAAA00,000000,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,20000311140,20001,31,Vicente de Carvalho - Terminal Alvorada,Semidireto,702,,FF9900,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,E2337AAA0A,22005,2337,Santa Cruz - Castelo,,200,,030478,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,E2381AAA0A,22005,2381,Pedra de Guaratiba - Castelo,,200,,030478,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,E2345AAA0A,22004,2345,Vila Valqueire - Castelo,,200,,030478,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,E2110AAA0A,22004,2110,Gardênia Azul - Castelo,,200,,030478,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
2024-07-22,2024-07-22,2024-07-26,E2336AAA0A,22005,2336,Campo Grande - Castelo,,200,,030478,ffffff,,,,,f958f57d6b63df60eacf6155d8e385295d94fc65
